customer_id,age,country,customer_segment,kyc_source,primary_device,income_annual_eur,account_age_days,logins_30d,avg_session_min,txn_cnt_30d,avg_txn_amount_eur,cash_in_ratio,cross_border_ratio,failed_txn_rate,support_tickets_90d,chargeback_cnt_90d,disputes_open,pep_flag,sanction_screen_hit,aml_alerts_180d,card_user,fx_trading_user,crypto_user,risk_tier,next_30d_net_revenue_eur
1,22,NL,Retail,Web,Android,,892,6,8.71,12,9.53,0.476,0.304,0.006,0,0,0,0,0,0,1,1,0,Low,39.69
2,58,UK,Retail,InApp,Web,30051.0,1094,8,12.63,18,15.18,0.136,0.174,0.046,0,0,0,0,0,0,0,0,0,Low,1.8
3,52,IT,Retail,InApp,iOS,56313.0,129,13,7.64,33,36.6,0.532,0.039,0.025,0,0,0,0,0,1,1,1,0,Low,32.14
4,40,ES,Retail,Web,Android,15917.0,1488,6,8.78,18,28.03,0.505,,0.038,1,1,0,0,0,0,1,0,0,Medium,-12.26
5,40,DE,Retail,InApp,iOS,40425.0,914,10,9.53,17,15.93,0.414,0.202,0.086,0,1,0,0,0,0,1,1,0,Medium,-5.78
6,62,NL,Retail,InApp,Android,41452.0,930,13,4.24,19,40.23,0.406,0.293,0.04,0,0,0,0,0,0,1,0,0,Low,0.27
7,22,IT,Enterprise,Web,Android,49687.0,1324,16,5.71,46,183.06,0.107,0.116,0.168,0,1,0,0,0,0,0,0,1,Medium,11.0
8,54,IT,SME,InApp,iOS,25501.0,739,12,8.47,34,132.47,0.32,0.425,0.076,0,0,0,0,0,3,1,0,0,Medium,8.63
9,28,FR,Retail,Web,Android,,52,5,8.01,21,47.72,0.438,0.13,0.017,3,0,0,0,0,0,1,0,1,Low,5.58
10,22,FR,Retail,Web,iOS,44740.0,205,8,6.61,14,19.74,0.482,0.021,0.028,0,0,0,0,0,0,1,0,0,Low,-4.94
11,45,BE,Retail,InApp,Android,50423.0,1421,9,8.68,15,42.13,0.664,,0.203,0,1,0,0,0,1,1,0,0,High,-50.0
12,68,BE,Retail,InApp,iOS,,1480,8,7.96,18,17.56,0.567,0.27,0.08,1,0,0,0,0,0,0,0,0,Low,-18.63
13,56,NL,Retail,InApp,Android,36263.0,132,14,10.35,14,12.98,0.354,0.271,0.063,1,0,0,0,0,0,1,0,0,Low,-21.71
14,57,NL,Retail,Web,iOS,54411.0,1029,8,5.87,14,21.62,0.432,0.126,0.11,1,0,0,0,0,1,0,0,0,High,-45.19
15,55,DE,Retail,InApp,Android,49772.0,993,13,8.39,12,28.71,0.199,0.074,0.109,2,0,0,0,0,1,1,0,0,Medium,-43.63
16,58,ES,Retail,Web,iOS,63158.0,253,7,,20,23.3,0.138,0.123,0.028,1,0,0,0,0,1,1,0,0,Low,-1.75
17,44,NL,SME,InApp,Android,41114.0,1182,7,5.93,27,57.48,0.332,0.277,0.1,2,0,0,0,0,1,1,1,1,High,53.74
18,24,DE,Retail,InApp,iOS,,693,8,11.32,28,32.99,0.279,0.072,0.036,0,0,0,0,0,0,1,0,0,Low,8.51
19,61,FR,Retail,InApp,iOS,40917.0,351,12,10.35,15,9.71,0.525,0.097,0.066,1,0,0,0,0,0,1,1,0,Low,10.14
